product_id,coded_cat1,coded_cat2,coded_cat3,coded_brand,coded_name
230244,4320,4284,1753,453,2677
230245,4320,4284,1753,453,2899
230247,4320,4284,1753,453,3069
230250,4320,4284,1753,453,2860
241302,4320,4284,7315,571,5470
238248,4320,4284,7315,571,4533
238807,4320,4284,1753,970,3297
238224,4320,4284,7315,528,4680
238225,4320,4284,7315,528,4252
238227,4320,4284,7315,528,5233
231609,4320,4284,1753,379,2908
231610,4320,4284,1753,379,2994
241158,4320,4284,7315,679,4239
238251,4320,4284,7315,1161,4599
237847,4320,4284,7315,805,4462
237849,4320,4284,7315,805,4483
237850,4320,4284,7315,805,4456
237852,4320,4284,7315,805,4473
237853,4320,4284,7315,805,4453
243022,4320,4284,1753,379,2790
243024,4320,4284,1753,379,2866
241527,4320,4284,7315,867,4438
241528,4320,4284,7315,867,4438
247407,4320,4284,1753,970,3495
247413,4320,4284,1753,970,3373
242221,4320,4284,7315,220,4953
241180,4320,4284,7315,700,5556
241182,4320,4284,7315,700,5575
241183,4320,4284,7315,700,5583
238927,4320,4284,7315,565,5539
241072,4320,4284,7315,565,5343
241074,4320,4284,7315,565,5434
237988,4320,4284,7315,738,4285
221964,4320,4284,1753,970,3162
221965,4320,4284,1753,970,3385
221968,4320,4284,1753,970,3045
241156,4320,4284,7315,682,5524
249678,4320,4284,7315,790,4473
249679,4320,4284,7315,790,5269
266874,4320,4284,7315,783,4167
247600,4320,4284,1753,528,3634
274072,4320,4284,7315,816,4467
241185,4320,4284,7315,700,4959
241188,4320,4284,7315,700,4630
241189,4320,4284,7315,700,4632
157521,2514,1581,2965,550,4132
157327,2514,1581,2748,550,4195
157329,2514,1581,2748,550,4228
157351,2514,1581,2748,550,4060
156627,2514,1581,3253,379,4620
156676,2514,1581,3253,379,4623
164728,2514,1581,2748,379,4120
157309,2514,1581,2748,783,4185
155947,2514,1581,2748,783,4510
156391,2514,1581,2748,550,4327
156396,2514,1581,2748,550,4281
156618,2514,1581,3253,550,4342
156619,2514,1581,3253,550,4429
169147,2514,1581,3253,783,4518
169149,2514,1581,3253,783,4521
188364,2514,1581,2748,379,4141
197218,2514,1581,3253,550,4608
197220,2514,1581,3253,550,4629
182974,2514,1581,3253,433,4474
182523,2514,1581,3253,433,4575
183831,2514,1581,3253,433,4422
183192,2514,1581,3253,433,4492
201214,2514,1581,2748,813,5160
205758,2514,1581,2748,783,4660
205759,2514,1581,2748,783,4650
215263,2514,1581,3253,783,4582
215265,2514,1581,2965,783,4563
209311,2514,1581,3253,783,4882
209313,2514,1581,3253,783,4884
209314,2514,1581,3253,783,4884
209316,2514,1581,3253,783,4975
209317,2514,1581,3253,783,4878
209319,2514,1581,3253,783,4885
209322,2514,1581,3253,783,4764
209320,2514,1581,2748,783,4626
210298,2514,1581,2748,813,5169
206215,2514,1581,3253,1162,4051
208770,2514,1581,2748,1056,4827
200017,2514,1581,2748,379,4380
212968,2514,1581,3253,379,4539
212970,2514,1581,3253,379,4630
212971,2514,1581,3253,379,4650
190818,2514,1581,2748,433,4137
190819,2514,1581,2748,433,4138
190821,2514,1581,2748,433,4105
198717,2514,1581,2748,433,4377
194637,2514,1581,2748,1162,4126
198775,2514,1581,2748,1162,4560
201354,2514,1581,2748,550,4426
201388,2514,1581,2748,550,4362
201280,2514,1581,2748,550,4425
215203,2514,1581,2748,565,4380
215205,2514,1581,2748,565,4407
215206,2514,1581,2748,565,4410
215208,2514,1581,2748,565,4381
215209,2514,1581,2748,565,4350
214599,2514,1581,2748,550,4210
208738,2514,1581,2748,550,4327
208740,2514,1581,2748,550,4296
201331,2514,1581,3253,550,4614
201333,2514,1581,3253,550,4618
208761,2514,1581,3253,550,4600
224268,2514,1581,3253,783,4951
233178,2514,1581,3253,783,4624
219906,2514,1581,2748,550,4314
218091,2514,1581,3253,379,4576
218092,2514,1581,3253,379,4596
217534,2514,1581,3253,379,4485
224031,2514,1581,2748,379,3982
234672,2514,1581,2748,1162,4120
219913,2514,1581,3253,924,4741
235716,2514,1581,2748,783,4263
235717,2514,1581,2748,783,4264
232969,2514,1581,2748,783,4269
232971,2514,1581,2748,783,4468
232972,2514,1581,2748,783,4345
224032,2514,1581,2748,379,4269
233176,2514,1581,2748,783,4231
242152,2514,1581,2748,550,4404
242154,2514,1581,2748,550,4393
242155,2514,1581,2748,550,4425
230131,2514,1581,3253,783,4641
235126,2514,1581,3253,565,4320
235128,2514,1581,3253,565,4341
235129,2514,1581,3253,565,4309
266694,2514,1581,2748,550,4257
266700,2514,1581,2748,550,4335
246312,2514,1581,2748,924,5011
246315,2514,1581,2748,924,5286
246316,2514,1581,2748,924,5032
156855,1327,3949,1596,493,3438
156807,1327,3949,1596,220,2482
156811,1327,3949,1596,220,2482
155625,1327,3949,3991,805,3970
155626,1327,3949,3991,805,3996
165838,1327,3949,1596,1002,3805
163495,1327,3949,1596,493,3199
160866,1327,3949,3991,912,3946
156937,1327,3949,5514,678,4159
165186,1327,3949,5514,678,4327
165187,1327,3949,5514,678,4455
155176,1327,3949,5514,805,4009
155182,1327,3949,5514,805,4005
167898,1327,3949,3991,678,4186
